Clusters,Name,Year,HR,H,AB,SB,RBI,R,Value Cluster
18,Whit Merrifield,2019.0,16.0,206.0,681.0,20.0,74.0,105.0,22.0
14,Xander Bogaerts,2016.0,21.0,192.0,652.0,13.0,89.0,115.0,21.0
12,Cody Bellinger,2017.0,39.0,128.0,480.0,10.0,97.0,87.0,20.0
1,Sean Rodriguez,2016.0,18.0,81.0,300.0,2.0,56.0,49.0,19.0
8,Christian Vazquez,2019.0,23.0,133.0,482.0,4.0,72.0,66.0,18.0
5,Conor Gillaspie,2016.0,6.0,50.0,191.0,1.0,25.0,24.0,17.0
0,Jarrod Dyson,2017.0,5.0,87.0,346.0,28.0,30.0,56.0,16.0
17,Jackie Bradley Jr.,2016.0,26.0,149.0,558.0,9.0,87.0,94.0,15.0
9,Aaron Judge,2018.0,27.0,115.0,413.0,6.0,67.0,77.0,14.0
2,Andrelton Simmons,2016.0,4.0,126.0,448.0,10.0,44.0,48.0,13.0
21,Renato Nunez,2019.0,31.0,132.0,541.0,1.0,90.0,72.0,12.0
10,Yairo Munoz,2018.0,8.0,81.0,293.0,5.0,42.0,39.0,11.0
11,Ian Kinsler,2018.0,14.0,117.0,487.0,16.0,48.0,66.0,10.0
3,Kyle Seager,2018.0,22.0,129.0,583.0,2.0,78.0,62.0,9.0
19,Adeiny Hechavarria,2018.0,6.0,73.0,296.0,2.0,31.0,34.0,8.0
20,Yasmani Grandal,2018.0,24.0,106.0,440.0,2.0,68.0,65.0,7.0
6,Austin Slater,2019.0,5.0,40.0,168.0,1.0,21.0,20.0,6.0
16,Robbie Grossman,2016.0,11.0,93.0,332.0,2.0,37.0,49.0,5.0
4,Mark Teixeira,2016.0,15.0,79.0,387.0,2.0,44.0,43.0,4.0
7,Joe Panik,2019.0,5.0,107.0,438.0,4.0,39.0,50.0,3.0
15,Allen Cordoba,2017.0,4.0,42.0,202.0,2.0,15.0,17.0,2.0
13,Jabari Blash,2017.0,5.0,35.0,164.0,1.0,16.0,24.0,1.0
