Clusters,Name,Year,HR.Normalize,ER.Normalize,BB.Normalize,H.Normalize,SO.Normalize,Value Cluster
5,Andrew Kittredge,2018.0,-19.0,-87.0,-45.0,-124.0,78.0,1.0
7,Manny Banuelos,2019.0,-24.0,-78.0,-66.0,-96.0,87.0,2.0
10,Braden Shipley,2016.0,-20.0,-59.0,-40.0,-95.0,61.0,3.0
8,Luis Perdomo,2016.0,-16.0,-64.0,-32.0,-113.0,71.0,4.0
13,Daniel Norris,2018.0,-19.0,-64.0,-44.0,-87.0,115.0,5.0
15,Alec Asher,2017.0,-17.0,-59.0,-39.0,-85.0,78.0,6.0
0,Tony Barnette,2017.0,-13.0,-62.0,-39.0,-100.0,99.0,7.0
14,Zach Davies,2017.0,-11.0,-44.0,-29.0,-97.0,64.0,8.0
4,Nick Ramirez,2019.0,-14.0,-46.0,-45.0,-83.0,93.0,9.0
3,Mike Foltynewicz,2016.0,-15.0,-48.0,-29.0,-87.0,90.0,10.0
12,Jhoulys Chacin,2018.0,-10.0,-40.0,-37.0,-71.0,81.0,11.0
16,Daniel Ponce de Leon,2019.0,-13.0,-42.0,-54.0,-63.0,107.0,12.0
6,Eduardo Rodriguez,2018.0,-13.0,-43.0,-35.0,-80.0,113.0,13.0
1,Danny Salazar,2017.0,-14.0,-48.0,-43.0,-78.0,140.0,14.0
2,Anibal Sanchez,2018.0,-12.0,-32.0,-31.0,-67.0,99.0,15.0
9,Hector Neris,2016.0,-12.0,-29.0,-38.0,-63.0,127.0,16.0
11,Ken Giles,2019.0,-10.0,-21.0,-33.0,-59.0,156.0,17.0
