Clusters,Name,Year,HR,H,AB,SB,RBI,R,Value Cluster
8,Carlos Santana,2019.0,34.0,161.0,573.0,4.0,93.0,110.0,13.0
12,Ozzie Albies,2019.0,24.0,189.0,640.0,15.0,86.0,102.0,12.0
5,Aaron Altherr,2017.0,19.0,101.0,372.0,5.0,65.0,58.0,11.0
10,Khris Davis,2017.0,43.0,140.0,566.0,4.0,110.0,91.0,10.0
0,Jarrod Dyson,2017.0,5.0,87.0,346.0,28.0,30.0,56.0,9.0
11,Christian Vazquez,2017.0,5.0,94.0,324.0,7.0,32.0,43.0,8.0
3,Marcell Ozuna,2018.0,23.0,163.0,582.0,3.0,88.0,69.0,7.0
1,Scott Schebler,2018.0,17.0,97.0,380.0,4.0,49.0,55.0,6.0
9,Chad Pinder,2017.0,15.0,67.0,282.0,2.0,42.0,36.0,5.0
2,Brandon Belt,2017.0,18.0,92.0,382.0,3.0,51.0,63.0,4.0
6,Jacoby Ellsbury,2016.0,9.0,145.0,551.0,20.0,56.0,71.0,3.0
4,Freddy Galvis,2018.0,13.0,149.0,602.0,8.0,67.0,62.0,2.0
7,Jeimer Candelario,2019.0,8.0,68.0,335.0,3.0,32.0,33.0,1.0
