Clusters,Name,Year,HR.Normalize,ER.Normalize,BB.Normalize,H.Normalize,SO.Normalize,Value Cluster
3,Matt Moore,2018.0,-19.0,-76.0,-41.0,-107.0,84.0,1.0
7,Robert Gsellman,2017.0,-15.0,-58.0,-36.0,-102.0,68.0,2.0
6,Kyle Gibson,2019.0,-15.0,-54.0,-35.0,-95.0,100.0,3.0
4,Jorge De La Rosa,2017.0,-14.0,-47.0,-42.0,-77.0,88.0,4.0
5,Francisco Liriano,2016.0,-16.0,-53.0,-53.0,-81.0,103.0,5.0
2,Jeff Samardzija,2016.0,-12.0,-43.0,-27.0,-82.0,82.0,6.0
0,Zack Godley,2017.0,-10.0,-38.0,-35.0,-71.0,106.0,7.0
1,Brad Hand,2018.0,-12.0,-31.0,-39.0,-62.0,147.0,8.0
