Clusters,Name,Year,HR.Normalize,ER.Normalize,BB.Normalize,H.Normalize,SO.Normalize,Value Cluster
4,Jordan Lyles,2017.0,-24.0,-87.0,-32.0,-116.0,79.0,1.0
15,James Shields,2016.0,-23.0,-66.0,-46.0,-93.0,74.0,2.0
6,Chad Bettis,2019.0,-16.0,-69.0,-34.0,-108.0,66.0,3.0
5,Sam Gaviglio,2018.0,-18.0,-60.0,-31.0,-97.0,85.0,4.0
10,Hector Santiago,2018.0,-16.0,-50.0,-59.0,-84.0,100.0,5.0
14,Logan Webb,2019.0,-13.0,-59.0,-36.0,-100.0,94.0,6.0
8,R.A. Dickey,2016.0,-17.0,-50.0,-38.0,-84.0,74.0,7.0
7,Tayron Guerrero,2018.0,-14.0,-61.0,-52.0,-97.0,117.0,8.0
1,Kendall Graveman,2016.0,-12.0,-46.0,-26.0,-94.0,58.0,9.0
16,Zach Eflin,2018.0,-13.0,-49.0,-29.0,-90.0,96.0,10.0
3,Luis Castillo,2018.0,-17.0,-48.0,-29.0,-77.0,97.0,11.0
2,Michael Wacha,2018.0,-11.0,-36.0,-43.0,-71.0,84.0,12.0
11,Blaine Hardy,2018.0,-12.0,-40.0,-26.0,-81.0,76.0,13.0
9,Eduardo Rodriguez,2018.0,-13.0,-43.0,-35.0,-80.0,113.0,14.0
0,Greg Holland,2017.0,-13.0,-41.0,-46.0,-58.0,122.0,15.0
12,Tommy Hunter,2017.0,-11.0,-30.0,-25.0,-64.0,109.0,16.0
13,Max Scherzer,2018.0,-11.0,-29.0,-24.0,-58.0,136.0,17.0
17,Dellin Betances,2018.0,-11.0,-31.0,-40.0,-56.0,173.0,18.0
