Clusters,Name,Year,HR,H,AB,SB,RBI,R,Value Cluster
3,Jordan Luplow,2019.0,15.0,62.0,225.0,3.0,38.0,42.0,10.0
1,Ryan Braun,2019.0,22.0,131.0,459.0,11.0,75.0,70.0,9.0
5,Trea Turner,2018.0,19.0,180.0,664.0,43.0,73.0,103.0,8.0
0,Jean Segura,2019.0,12.0,161.0,576.0,10.0,60.0,79.0,7.0
8,Renato Nunez,2019.0,31.0,132.0,541.0,1.0,90.0,72.0,6.0
7,Carlos Gonzalez,2017.0,14.0,123.0,470.0,3.0,57.0,72.0,5.0
4,Odubel Herrera,2018.0,22.0,140.0,550.0,5.0,71.0,64.0,4.0
6,Kyle Schwarber,2018.0,26.0,102.0,428.0,4.0,61.0,64.0,3.0
9,Freddy Galvis,2018.0,13.0,149.0,602.0,8.0,67.0,62.0,2.0
2,Desmond Jennings,2016.0,7.0,40.0,200.0,2.0,20.0,22.0,1.0
