Clusters,Name,Year,HR,H,AB,SB,RBI,R,Value Cluster
8,Charlie Culberson,2018.0,12.0,80.0,296.0,4.0,45.0,47.0,19.0
18,Nolan Arenado,2018.0,38.0,175.0,590.0,2.0,110.0,104.0,18.0
7,Brandon Phillips,2016.0,11.0,160.0,550.0,14.0,64.0,74.0,17.0
1,Khris Davis,2017.0,43.0,140.0,566.0,4.0,110.0,91.0,16.0
12,Jarrod Dyson,2017.0,5.0,87.0,346.0,28.0,30.0,56.0,15.0
5,Jackie Bradley Jr.,2016.0,26.0,149.0,558.0,9.0,87.0,94.0,14.0
13,Michael Chavis,2019.0,18.0,88.0,347.0,2.0,58.0,46.0,13.0
11,Juan Soto,2019.0,34.0,153.0,542.0,12.0,110.0,110.0,12.0
3,Buster Posey,2016.0,14.0,155.0,539.0,6.0,80.0,82.0,11.0
16,Niko Goodrum,2019.0,12.0,105.0,423.0,12.0,45.0,61.0,10.0
6,Marwin Gonzalez,2019.0,15.0,112.0,425.0,1.0,55.0,52.0,9.0
17,Matt Duffy,2016.0,5.0,86.0,333.0,8.0,28.0,41.0,8.0
9,Mitch Moreland,2016.0,22.0,107.0,460.0,1.0,60.0,49.0,7.0
14,Jason Kipnis,2018.0,18.0,122.0,530.0,7.0,75.0,65.0,6.0
10,Michael Conforto,2018.0,28.0,132.0,543.0,3.0,82.0,78.0,5.0
15,Shin-Soo Choo,2018.0,21.0,148.0,560.0,6.0,62.0,83.0,4.0
2,Drew Butera,2017.0,3.0,37.0,163.0,0.0,14.0,18.0,3.0
0,Joe Panik,2019.0,5.0,107.0,438.0,4.0,39.0,50.0,2.0
4,Jeimer Candelario,2019.0,8.0,68.0,335.0,3.0,32.0,33.0,1.0
