Clusters,Name,Year,HR.Normalize,ER.Normalize,BB.Normalize,H.Normalize,SO.Normalize,Value Cluster
4,Andrew Kittredge,2018.0,-19.0,-87.0,-45.0,-124.0,78.0,1.0
21,Tyler Glasnow,2017.0,-21.0,-86.0,-71.0,-110.0,90.0,2.0
10,Jeff Samardzija,2018.0,-14.0,-71.0,-59.0,-93.0,67.0,3.0
18,Jordan Zimmermann,2017.0,-19.0,-68.0,-28.0,-110.0,64.0,4.0
6,Kelvin Herrera,2019.0,-16.0,-69.0,-46.0,-102.0,103.0,5.0
17,Anibal Sanchez,2016.0,-20.0,-66.0,-35.0,-93.0,88.0,6.0
3,Enrique Burgos,2016.0,-13.0,-64.0,-56.0,-81.0,104.0,7.0
20,Doug Fister,2018.0,-17.0,-50.0,-29.0,-94.0,60.0,8.0
22,Jason Vargas,2019.0,-15.0,-51.0,-43.0,-81.0,83.0,9.0
16,Michael Wacha,2016.0,-11.0,-57.0,-33.0,-105.0,82.0,10.0
11,Adam Wainwright,2018.0,-13.0,-50.0,-45.0,-90.0,99.0,11.0
13,Kirby Yates,2016.0,-13.0,-59.0,-47.0,-88.0,121.0,12.0
5,Mike Foltynewicz,2016.0,-15.0,-48.0,-29.0,-87.0,90.0,13.0
2,Alex Cobb,2017.0,-13.0,-41.0,-25.0,-86.0,71.0,14.0
19,Chris Archer,2018.0,-13.0,-48.0,-34.0,-92.0,109.0,15.0
14,Michael Wacha,2018.0,-11.0,-36.0,-43.0,-71.0,84.0,16.0
8,Carlos Martinez,2017.0,-14.0,-41.0,-35.0,-75.0,105.0,17.0
1,Shohei Ohtani,2018.0,-12.0,-38.0,-43.0,-63.0,123.0,18.0
0,Jose Quintana,2016.0,-11.0,-36.0,-25.0,-82.0,87.0,19.0
9,Dinelson Lamet,2019.0,-17.0,-46.0,-42.0,-69.0,143.0,20.0
12,Tommy Hunter,2017.0,-11.0,-30.0,-25.0,-64.0,109.0,21.0
15,Seth Lugo,2019.0,-10.0,-30.0,-20.0,-60.0,130.0,22.0
7,Ken Giles,2019.0,-10.0,-21.0,-33.0,-59.0,156.0,23.0
