Clusters,Name,Year,HR,H,AB,SB,RBI,R,Value Cluster
2,Jose Martinez,2017.0,14.0,84.0,272.0,4.0,46.0,47.0,18.0
11,Juan Soto,2019.0,34.0,153.0,542.0,12.0,110.0,110.0,17.0
3,Mitch Moreland,2019.0,19.0,75.0,298.0,1.0,58.0,48.0,16.0
13,Jarrod Dyson,2017.0,5.0,87.0,346.0,28.0,30.0,56.0,15.0
14,Jackie Bradley Jr.,2016.0,26.0,149.0,558.0,9.0,87.0,94.0,14.0
6,Jose Altuve,2018.0,13.0,169.0,534.0,17.0,61.0,84.0,13.0
10,Conor Gillaspie,2016.0,6.0,50.0,191.0,1.0,25.0,24.0,12.0
17,Michael Chavis,2019.0,18.0,88.0,347.0,2.0,58.0,46.0,11.0
0,Alex Gordon,2019.0,13.0,148.0,556.0,5.0,76.0,77.0,10.0
15,Andrelton Simmons,2019.0,7.0,105.0,398.0,10.0,40.0,47.0,9.0
1,Leonys Martin,2018.0,11.0,81.0,318.0,7.0,33.0,48.0,8.0
8,Yasmani Grandal,2018.0,24.0,106.0,440.0,2.0,68.0,65.0,7.0
9,Shin-Soo Choo,2018.0,21.0,148.0,560.0,6.0,62.0,83.0,6.0
5,Michael Conforto,2016.0,12.0,67.0,304.0,2.0,42.0,38.0,5.0
4,Joe Panik,2019.0,5.0,107.0,438.0,4.0,39.0,50.0,4.0
7,J.T. Riddle,2018.0,9.0,71.0,308.0,0.0,36.0,28.0,3.0
12,Peter Bourjos,2016.0,5.0,89.0,355.0,6.0,23.0,40.0,2.0
16,Andrew Knapp,2018.0,4.0,37.0,187.0,1.0,15.0,19.0,1.0
