Clusters,Name,Year,HR,H,AB,SB,RBI,R,Value Cluster
11,Whit Merrifield,2019.0,16.0,206.0,681.0,20.0,74.0,105.0,23.0
21,Yoan Moncada,2019.0,25.0,161.0,511.0,10.0,79.0,83.0,22.0
16,Giancarlo Stanton,2017.0,59.0,168.0,597.0,2.0,132.0,123.0,21.0
18,Hanley Ramirez,2016.0,30.0,157.0,549.0,9.0,111.0,81.0,20.0
7,Marcus Semien,2019.0,33.0,187.0,657.0,10.0,92.0,123.0,19.0
22,Jarrod Dyson,2017.0,5.0,87.0,346.0,28.0,30.0,56.0,18.0
13,Yadier Molina,2018.0,20.0,120.0,459.0,4.0,74.0,55.0,17.0
4,Tyler Naquin,2019.0,10.0,79.0,274.0,4.0,34.0,34.0,16.0
10,Aaron Judge,2018.0,27.0,115.0,413.0,6.0,67.0,77.0,15.0
1,Kyle Seager,2019.0,23.0,94.0,393.0,2.0,63.0,55.0,14.0
9,Leonys Martin,2018.0,11.0,81.0,318.0,7.0,33.0,48.0,13.0
2,Chris Taylor,2019.0,12.0,96.0,366.0,8.0,52.0,52.0,12.0
6,Nori Aoki,2017.0,5.0,93.0,336.0,10.0,35.0,48.0,11.0
19,Austin Hedges,2017.0,18.0,83.0,387.0,4.0,55.0,36.0,10.0
15,Matt Duffy,2016.0,5.0,86.0,333.0,8.0,28.0,41.0,9.0
12,Erik Kratz,2018.0,6.0,48.0,203.0,1.0,23.0,18.0,8.0
20,Todd Frazier,2017.0,27.0,101.0,474.0,4.0,76.0,74.0,7.0
8,Jason Kipnis,2018.0,18.0,122.0,530.0,7.0,75.0,65.0,6.0
14,Josh Donaldson,2018.0,8.0,46.0,187.0,2.0,23.0,30.0,5.0
3,Jordy Mercer,2018.0,6.0,99.0,394.0,2.0,39.0,43.0,4.0
0,Jace Peterson,2016.0,7.0,89.0,350.0,5.0,29.0,45.0,3.0
5,Tyler Goeddel,2016.0,4.0,41.0,213.0,3.0,16.0,17.0,2.0
17,Jeimer Candelario,2019.0,8.0,68.0,335.0,3.0,32.0,33.0,1.0
