Clusters,Name,Year,HR,H,AB,SB,RBI,R,Value Cluster
8,Yoan Moncada,2019.0,25.0,161.0,511.0,10.0,79.0,83.0,15.0
1,Jorge Soler,2019.0,48.0,156.0,589.0,3.0,117.0,95.0,14.0
13,Eduardo Escobar,2019.0,35.0,171.0,636.0,5.0,118.0,94.0,13.0
7,Jean Segura,2019.0,12.0,161.0,576.0,10.0,60.0,79.0,12.0
12,Trea Turner,2018.0,19.0,180.0,664.0,43.0,73.0,103.0,11.0
11,Carlos Santana,2019.0,34.0,161.0,573.0,4.0,93.0,110.0,10.0
14,Kendrys Morales,2017.0,28.0,139.0,557.0,0.0,85.0,67.0,9.0
6,Conor Gillaspie,2016.0,6.0,50.0,191.0,1.0,25.0,24.0,8.0
5,Scott Schebler,2018.0,17.0,97.0,380.0,4.0,49.0,55.0,7.0
3,Jose Pirela,2017.0,10.0,90.0,312.0,4.0,40.0,43.0,6.0
2,Drew Butera,2017.0,3.0,37.0,163.0,0.0,14.0,18.0,5.0
10,Michael Conforto,2018.0,28.0,132.0,543.0,3.0,82.0,78.0,4.0
9,Tyler White,2016.0,8.0,54.0,249.0,1.0,28.0,24.0,3.0
0,Joe Mauer,2016.0,11.0,129.0,494.0,2.0,49.0,68.0,2.0
4,Jeimer Candelario,2019.0,8.0,68.0,335.0,3.0,32.0,33.0,1.0
