Clusters,Name,Year,HR,H,AB,SB,RBI,R,Value Cluster
6,Jordan Luplow,2019.0,15.0,62.0,225.0,3.0,38.0,42.0,8.0
0,Nicholas Castellanos,2018.0,23.0,185.0,620.0,2.0,89.0,88.0,7.0
7,Jose Peraza,2018.0,14.0,182.0,632.0,23.0,58.0,85.0,6.0
4,Adam Duvall,2017.0,31.0,146.0,587.0,5.0,99.0,78.0,5.0
1,Denard Span,2018.0,11.0,114.0,437.0,9.0,58.0,63.0,4.0
5,Freddy Galvis,2018.0,13.0,149.0,602.0,8.0,67.0,62.0,3.0
3,Kyle Schwarber,2018.0,26.0,102.0,428.0,4.0,61.0,64.0,2.0
2,Aaron Hicks,2016.0,8.0,71.0,327.0,3.0,31.0,32.0,1.0
