Clusters,Name,Year,HR.Normalize,ER.Normalize,BB.Normalize,H.Normalize,SO.Normalize,Value Cluster
2,Nick Kingham,2019.0,-20.0,-82.0,-46.0,-122.0,83.0,1.0
17,Tyson Ross,2019.0,-20.0,-69.0,-52.0,-97.0,71.0,2.0
7,Ariel Jurado,2019.0,-18.0,-65.0,-30.0,-105.0,66.0,3.0
16,Sammy Solis,2018.0,-18.0,-72.0,-47.0,-93.0,112.0,4.0
9,Mike Clevinger,2016.0,-16.0,-59.0,-55.0,-80.0,94.0,5.0
0,Jesse Chavez,2017.0,-21.0,-60.0,-33.0,-87.0,86.0,6.0
3,Ryan Vogelsong,2016.0,-14.0,-54.0,-49.0,-86.0,74.0,7.0
12,Jerad Eickhoff,2017.0,-13.0,-53.0,-42.0,-99.0,92.0,8.0
11,Kendall Graveman,2016.0,-12.0,-46.0,-26.0,-94.0,58.0,9.0
8,Jake Diekman,2018.0,-8.0,-53.0,-59.0,-85.0,124.0,10.0
5,Jordan Lyles,2018.0,-14.0,-46.0,-33.0,-82.0,96.0,11.0
18,Michael Wacha,2018.0,-11.0,-36.0,-43.0,-71.0,84.0,12.0
15,Ervin Santana,2016.0,-11.0,-38.0,-30.0,-83.0,82.0,13.0
10,Eduardo Rodriguez,2018.0,-13.0,-43.0,-35.0,-80.0,113.0,14.0
6,Luis Castillo,2019.0,-12.0,-38.0,-42.0,-62.0,118.0,15.0
1,Dinelson Lamet,2019.0,-17.0,-46.0,-42.0,-69.0,143.0,16.0
13,Tommy Hunter,2017.0,-11.0,-30.0,-25.0,-64.0,109.0,17.0
4,Seth Lugo,2019.0,-10.0,-30.0,-20.0,-60.0,130.0,18.0
14,Ken Giles,2019.0,-10.0,-21.0,-33.0,-59.0,156.0,19.0
