Clusters,Name,Year,HR.Normalize,ER.Normalize,BB.Normalize,H.Normalize,SO.Normalize,Value Cluster
19,Nick Kingham,2019.0,-20.0,-82.0,-46.0,-122.0,83.0,1.0
7,Jimmy Yacabonis,2019.0,-22.0,-76.0,-59.0,-103.0,80.0,2.0
13,Ariel Jurado,2019.0,-18.0,-65.0,-30.0,-105.0,66.0,3.0
17,Yacksel Rios,2018.0,-17.0,-75.0,-42.0,-103.0,100.0,4.0
0,Jose Urena,2019.0,-16.0,-59.0,-31.0,-103.0,73.0,5.0
16,Chris Hatcher,2016.0,-20.0,-63.0,-53.0,-80.0,106.0,6.0
11,Ryan Vogelsong,2016.0,-14.0,-54.0,-49.0,-86.0,74.0,7.0
4,Jerad Eickhoff,2017.0,-13.0,-53.0,-42.0,-99.0,92.0,8.0
15,J.A. Happ,2019.0,-22.0,-55.0,-31.0,-79.0,86.0,9.0
14,Kendall Graveman,2016.0,-12.0,-46.0,-26.0,-94.0,58.0,10.0
3,Jake Diekman,2018.0,-8.0,-53.0,-59.0,-85.0,124.0,11.0
6,Kevin Gausman,2018.0,-15.0,-44.0,-28.0,-89.0,80.0,12.0
9,Jon Gray,2019.0,-13.0,-43.0,-38.0,-86.0,100.0,13.0
2,Michael Wacha,2018.0,-11.0,-36.0,-43.0,-71.0,84.0,14.0
18,Eduardo Rodriguez,2018.0,-13.0,-43.0,-35.0,-80.0,113.0,15.0
10,Danny Salazar,2017.0,-14.0,-48.0,-43.0,-78.0,140.0,16.0
20,Michael Fulmer,2016.0,-11.0,-34.0,-27.0,-76.0,83.0,17.0
8,Luis Castillo,2019.0,-12.0,-38.0,-42.0,-62.0,118.0,18.0
1,Corey Kluber,2016.0,-11.0,-35.0,-27.0,-69.0,105.0,19.0
12,Seth Lugo,2019.0,-10.0,-30.0,-20.0,-60.0,130.0,20.0
5,Ken Giles,2019.0,-10.0,-21.0,-33.0,-59.0,156.0,21.0
