Clusters,Name,Year,HR.Normalize,ER.Normalize,BB.Normalize,H.Normalize,SO.Normalize,Value Cluster
5,Chad Bell,2017.0,-20.0,-78.0,-50.0,-112.0,91.0,1.0
8,Ariel Jurado,2019.0,-18.0,-65.0,-30.0,-105.0,66.0,2.0
1,Felix Hernandez,2018.0,-18.0,-62.0,-39.0,-86.0,80.0,3.0
7,Jose Cisnero,2019.0,-15.0,-49.0,-55.0,-86.0,113.0,4.0
0,Eric Lauer,2019.0,-14.0,-50.0,-35.0,-93.0,92.0,5.0
4,Alex Cobb,2017.0,-13.0,-41.0,-25.0,-86.0,71.0,6.0
6,Francisco Rodriguez,2016.0,-11.0,-37.0,-37.0,-68.0,89.0,7.0
3,Corey Kluber,2016.0,-11.0,-35.0,-27.0,-69.0,105.0,8.0
2,Brad Hand,2018.0,-12.0,-31.0,-39.0,-62.0,147.0,9.0
