Clusters,Name,Year,HR.Normalize,ER.Normalize,BB.Normalize,H.Normalize,SO.Normalize,Value Cluster
13,Nick Kingham,2019.0,-20.0,-82.0,-46.0,-122.0,83.0,1.0
9,Manny Banuelos,2019.0,-24.0,-78.0,-66.0,-96.0,87.0,2.0
7,Tyson Ross,2019.0,-20.0,-69.0,-52.0,-97.0,71.0,3.0
20,Luis Perdomo,2016.0,-16.0,-64.0,-32.0,-113.0,71.0,4.0
0,Felix Hernandez,2018.0,-18.0,-62.0,-39.0,-86.0,80.0,5.0
5,Dylan Cease,2019.0,-21.0,-65.0,-48.0,-87.0,110.0,6.0
16,Drew Storen,2017.0,-13.0,-50.0,-43.0,-93.0,88.0,7.0
6,Ryan Madson,2018.0,-14.0,-62.0,-31.0,-98.0,103.0,8.0
2,Doug Fister,2018.0,-17.0,-50.0,-29.0,-94.0,60.0,9.0
19,Jake Arrieta,2018.0,-13.0,-45.0,-34.0,-84.0,80.0,10.0
18,Mike Dunn,2017.0,-16.0,-50.0,-56.0,-70.0,113.0,11.0
10,Luis Castillo,2018.0,-17.0,-48.0,-29.0,-77.0,97.0,12.0
11,German Marquez,2017.0,-16.0,-49.0,-31.0,-92.0,90.0,13.0
17,Michael Wacha,2018.0,-11.0,-36.0,-43.0,-71.0,84.0,14.0
1,Matt Barnes,2016.0,-10.0,-46.0,-47.0,-85.0,107.0,15.0
14,Danny Salazar,2017.0,-14.0,-48.0,-43.0,-78.0,140.0,16.0
12,Eduardo Rodriguez,2018.0,-13.0,-43.0,-35.0,-80.0,113.0,17.0
21,Michael Fulmer,2016.0,-11.0,-34.0,-27.0,-76.0,83.0,18.0
3,Shohei Ohtani,2018.0,-12.0,-38.0,-43.0,-63.0,123.0,19.0
4,Tommy Hunter,2017.0,-11.0,-30.0,-25.0,-64.0,109.0,20.0
15,Max Scherzer,2018.0,-11.0,-29.0,-24.0,-58.0,136.0,21.0
8,Dellin Betances,2018.0,-11.0,-31.0,-40.0,-56.0,173.0,22.0
