Clusters,Name,Year,HR.Normalize,ER.Normalize,BB.Normalize,H.Normalize,SO.Normalize,Value Cluster
10,Adam Conley,2019.0,-17.0,-74.0,-49.0,-110.0,88.0,1.0
3,David Hernandez,2019.0,-17.0,-91.0,-48.0,-110.0,125.0,2.0
8,Ariel Jurado,2019.0,-18.0,-65.0,-30.0,-105.0,66.0,3.0
7,Blake Treinen,2019.0,-16.0,-55.0,-64.0,-85.0,101.0,4.0
1,Nick Pivetta,2019.0,-22.0,-61.0,-42.0,-90.0,95.0,5.0
0,Tanner Roark,2019.0,-17.0,-49.0,-31.0,-93.0,95.0,6.0
6,John Means,2019.0,-15.0,-40.0,-25.0,-75.0,78.0,7.0
5,James Paxton,2019.0,-16.0,-43.0,-37.0,-77.0,123.0,8.0
4,Tim Hill,2019.0,-11.0,-41.0,-34.0,-69.0,99.0,9.0
9,Jose Leclerc,2019.0,-11.0,-49.0,-58.0,-66.0,146.0,10.0
2,Jack Flaherty,2019.0,-13.0,-31.0,-29.0,-57.0,117.0,11.0
11,Tyler Duffey,2019.0,-14.0,-28.0,-25.0,-63.0,143.0,12.0
