Clusters,Name,Year,HR,H,AB,SB,RBI,R,Value Cluster
8,Jose Martinez,2017.0,14.0,84.0,272.0,4.0,46.0,47.0,14.0
1,Mitch Moreland,2019.0,19.0,75.0,298.0,1.0,58.0,48.0,13.0
7,Jean Segura,2019.0,12.0,161.0,576.0,10.0,60.0,79.0,12.0
12,Trea Turner,2018.0,19.0,180.0,664.0,43.0,73.0,103.0,11.0
11,Carlos Santana,2019.0,34.0,161.0,573.0,4.0,93.0,110.0,10.0
13,Michael Chavis,2019.0,18.0,88.0,347.0,2.0,58.0,46.0,9.0
6,Conor Gillaspie,2016.0,6.0,50.0,191.0,1.0,25.0,24.0,8.0
3,Chase Headley,2017.0,12.0,140.0,512.0,9.0,61.0,77.0,7.0
5,Eugenio Suarez,2016.0,21.0,140.0,565.0,11.0,70.0,78.0,6.0
9,Kyle Seager,2018.0,22.0,129.0,583.0,2.0,78.0,62.0,5.0
10,Michael Conforto,2018.0,28.0,132.0,543.0,3.0,82.0,78.0,4.0
2,Freddy Galvis,2018.0,13.0,149.0,602.0,8.0,67.0,62.0,3.0
0,Joe Mauer,2016.0,11.0,129.0,494.0,2.0,49.0,68.0,2.0
4,Jeimer Candelario,2019.0,8.0,68.0,335.0,3.0,32.0,33.0,1.0
