Clusters,Name,Year,HR,H,AB,SB,RBI,R,Value Cluster
4,Aaron Altherr,2017.0,19.0,101.0,372.0,5.0,65.0,58.0,21.0
0,Carlos Correa,2019.0,21.0,78.0,280.0,1.0,59.0,42.0,20.0
13,Jorge Polanco,2019.0,22.0,186.0,631.0,4.0,79.0,107.0,19.0
10,Christian Vazquez,2017.0,5.0,94.0,324.0,7.0,32.0,43.0,18.0
1,Didi Gregorius,2016.0,20.0,155.0,562.0,7.0,70.0,68.0,17.0
6,Jarrod Dyson,2017.0,5.0,87.0,346.0,28.0,30.0,56.0,16.0
14,Jackie Bradley Jr.,2016.0,26.0,149.0,558.0,9.0,87.0,94.0,15.0
3,Ryan McMahon,2019.0,24.0,120.0,480.0,5.0,83.0,70.0,14.0
18,Yadier Molina,2018.0,20.0,120.0,459.0,4.0,74.0,55.0,13.0
15,Yairo Munoz,2018.0,8.0,81.0,293.0,5.0,42.0,39.0,12.0
11,Eugenio Suarez,2016.0,21.0,140.0,565.0,11.0,70.0,78.0,11.0
17,Aaron Hicks,2018.0,27.0,119.0,480.0,11.0,79.0,90.0,10.0
16,Chris Carter,2016.0,41.0,122.0,549.0,3.0,94.0,84.0,9.0
20,Kevin Pillar,2017.0,16.0,150.0,587.0,15.0,42.0,72.0,8.0
9,Kyle Seager,2018.0,22.0,129.0,583.0,2.0,78.0,62.0,7.0
5,Jeff Francoeur,2016.0,7.0,78.0,307.0,2.0,34.0,33.0,6.0
19,Jackie Bradley Jr.,2019.0,21.0,111.0,494.0,8.0,62.0,69.0,5.0
8,Brandon Guyer,2016.0,9.0,78.0,293.0,3.0,32.0,39.0,4.0
2,Joe Panik,2019.0,5.0,107.0,438.0,4.0,39.0,50.0,3.0
7,Mark Canha,2017.0,5.0,36.0,173.0,2.0,14.0,16.0,2.0
12,Jeimer Candelario,2019.0,8.0,68.0,335.0,3.0,32.0,33.0,1.0
