Clusters,Name,Year,HR.Normalize,ER.Normalize,BB.Normalize,H.Normalize,SO.Normalize,Value Cluster
5,Andre Rienzo,2014.0,-19.0,-77.0,-52.0,-110.0,79.0,1.0
8,Brian Moehler,2009.0,-14.0,-61.0,-34.0,-108.0,59.0,2.0
1,J.R. Graham,2015.0,-16.0,-56.0,-34.0,-100.0,83.0,3.0
9,David Price,2009.0,-14.0,-50.0,-43.0,-80.0,79.0,4.0
4,Tommy Hunter,2009.0,-12.0,-46.0,-30.0,-90.0,57.0,5.0
3,Kerry Wood,2009.0,-13.0,-48.0,-51.0,-75.0,114.0,6.0
0,Jose Quintana,2013.0,-12.0,-39.0,-28.0,-83.0,82.0,7.0
7,Jeff Samardzija,2012.0,-12.0,-43.0,-33.0,-79.0,103.0,8.0
10,Roy Oswalt,2010.0,-9.0,-31.0,-27.0,-68.0,91.0,9.0
6,Dominic Leone,2017.0,-9.0,-29.0,-33.0,-65.0,115.0,10.0
2,Craig Kimbrel,2015.0,-11.0,-29.0,-38.0,-58.0,147.0,11.0
