Clusters,Name,Year,HR.Normalize,ER.Normalize,BB.Normalize,H.Normalize,SO.Normalize,Value Cluster
16,Nick Kingham,2019.0,-20.0,-82.0,-46.0,-122.0,83.0,1.0
6,Mike Bolsinger,2017.0,-22.0,-71.0,-66.0,-95.0,94.0,2.0
9,Austin Bibens-Dirkx,2018.0,-20.0,-69.0,-32.0,-105.0,73.0,3.0
18,Yovani Gallardo,2017.0,-19.0,-64.0,-47.0,-88.0,72.0,4.0
5,Martin Perez,2017.0,-13.0,-54.0,-35.0,-108.0,62.0,5.0
3,Paul Sewald,2018.0,-15.0,-68.0,-41.0,-97.0,103.0,6.0
12,Jose Quintana,2019.0,-12.0,-53.0,-27.0,-100.0,88.0,7.0
2,Tim Mayza,2019.0,-16.0,-55.0,-53.0,-73.0,107.0,8.0
0,Tyler Anderson,2017.0,-19.0,-54.0,-31.0,-84.0,94.0,9.0
17,Albert Suarez,2016.0,-14.0,-48.0,-31.0,-87.0,64.0,10.0
10,Hunter Strickland,2018.0,-12.0,-45.0,-47.0,-85.0,82.0,11.0
11,Carlos Rodon,2019.0,-12.0,-59.0,-50.0,-85.0,134.0,12.0
7,Michael Wacha,2018.0,-11.0,-36.0,-43.0,-71.0,84.0,13.0
19,Ervin Santana,2016.0,-11.0,-38.0,-30.0,-83.0,82.0,14.0
8,Eduardo Rodriguez,2019.0,-12.0,-43.0,-37.0,-85.0,104.0,15.0
13,Aaron Nola,2019.0,-14.0,-44.0,-40.0,-74.0,113.0,16.0
15,Trey Wingenter,2019.0,-10.0,-63.0,-55.0,-57.0,141.0,17.0
4,Tommy Hunter,2017.0,-11.0,-30.0,-25.0,-64.0,109.0,18.0
14,Gerrit Cole,2018.0,-10.0,-32.0,-32.0,-62.0,137.0,19.0
1,Ken Giles,2019.0,-10.0,-21.0,-33.0,-59.0,156.0,20.0
