Clusters,Name,Year,HR.Normalize,ER.Normalize,BB.Normalize,H.Normalize,SO.Normalize,Value Cluster
11,Jose Berrios,2016.0,-21.0,-90.0,-61.0,-107.0,84.0,1.0
10,Ariel Jurado,2019.0,-18.0,-65.0,-30.0,-105.0,66.0,2.0
7,Jim Johnson,2017.0,-15.0,-63.0,-45.0,-91.0,108.0,3.0
12,Alec Asher,2017.0,-17.0,-59.0,-39.0,-85.0,78.0,4.0
3,Luke Weaver,2018.0,-14.0,-56.0,-40.0,-97.0,88.0,5.0
0,Kendall Graveman,2017.0,-12.0,-47.0,-31.0,-98.0,66.0,6.0
1,Jordan Lyles,2018.0,-14.0,-46.0,-33.0,-82.0,96.0,7.0
13,Michael Wacha,2018.0,-11.0,-36.0,-43.0,-71.0,84.0,8.0
2,Tyler Glasnow,2018.0,-14.0,-48.0,-48.0,-67.0,122.0,9.0
8,Jeff Samardzija,2016.0,-12.0,-43.0,-27.0,-82.0,82.0,10.0
5,Oliver Perez,2019.0,-13.0,-45.0,-30.0,-83.0,119.0,11.0
4,Corey Kluber,2016.0,-11.0,-35.0,-27.0,-69.0,105.0,12.0
9,Gerrit Cole,2018.0,-10.0,-32.0,-32.0,-62.0,137.0,13.0
6,Dellin Betances,2018.0,-11.0,-31.0,-40.0,-56.0,173.0,14.0
